50/50 H2O/SiO2 EOS table for planetary interior model (WITH phase equilibrium), 51 temps, 147 densities
***UvA version, Allona Vazan***  June 2018 ***
units:    1 keV = 1.1605e+7 Kelvin; 1 jrk = 1.e+16 erg
          1 jrk/cc = 1.e+4 Mbar

 lgT(Kev)  lgro          log P(jrk/cc)              u(jrk/g)                 s(jrk/g-keV)
-5.90   -12.20    -2.100376699435384E+01     3.439165379179694E-05     4.662242199674016E-02
-5.90   -12.10    -2.100376699435384E+01     3.406714250081418E-05     3.703637528577447E-02
-5.90   -12.00    -2.100376699435384E+01     3.380937401989975E-05     2.942190772386861E-02
-5.90   -11.90    -2.100376699435384E+01     3.360462123748743E-05     2.337352114705459E-02
-5.90   -11.80    -2.100376699435384E+01     3.344198032127897E-05     1.856911691456388E-02
-5.90   -11.70    -2.100376699435384E+01     3.331279004941315E-05     1.475284298166760E-02
-5.90   -11.60    -2.100376699435384E+01     3.321017056881844E-05     1.172146884532587E-02
-5.90   -11.50    -2.100376699435384E+01     3.312865701794932E-05     9.313562778816693E-03
-5.90   -11.40    -2.100376699435384E+01     3.306390850298134E-05     7.400895003624570E-03
-5.90   -11.30    -2.100376699435384E+01     3.301247692938580E-05     5.881608986142192E-03
-5.90   -11.20    -2.100376699435384E+01     3.297162337832257E-05     4.674797205834110E-03
-5.90   -11.10    -2.100376699435384E+01     3.293917224922429E-05     3.716192534737542E-03
-5.90   -11.00    -2.100376699435384E+01     3.291339540113285E-05     2.954745778546953E-03
-5.90   -10.90    -2.100376699435384E+01     3.289292012289162E-05     2.349907120865554E-03
-5.90   -10.80    -2.100376699435384E+01     3.287665603127078E-05     1.869466697616482E-03
-5.90   -10.70    -2.100376699435384E+01     3.286373700408419E-05     1.487839304326854E-03
-5.90   -10.60    -2.100376699435384E+01     3.285347505602472E-05     1.184701890692681E-03
-5.90   -10.50    -2.100376699435384E+01     3.284532370093781E-05     9.439112840417630E-04
-5.90   -10.40    -2.100376699435384E+01     3.283884884944101E-05     7.526445065225507E-04
-5.90   -10.30    -2.100376699435384E+01     3.283370569208146E-05     6.007159047743129E-04
-5.90   -10.20    -2.100376699435384E+01     3.282962033697513E-05     4.800347267435050E-04
-5.90   -10.10    -2.100376699435384E+01     3.282637522406531E-05     3.841742596338481E-04
-5.90   -10.00    -2.100376699435384E+01     3.282379753925617E-05     3.080295840147893E-04
-5.90    -9.90    -2.100376699435384E+01     3.282175001143204E-05     2.475457182466493E-04
-5.90    -9.80    -2.100376699435384E+01     3.282012360226995E-05     1.995016759217421E-04
-5.90    -9.70    -2.100376699435384E+01     3.281883169955129E-05     1.613389365927793E-04
-5.90    -9.60    -2.100376699435384E+01     3.281780550474535E-05     1.310251952293619E-04
-5.90    -9.50    -2.100376699435384E+01     3.281699036923666E-05     1.069461345642702E-04
