logT	 logRho		logP		u	s
 -5.90    -1.70    -2.126336093041496E+01     2.799696543512948E-05     9.461741299058699E-06
 -5.90    -1.60    -2.126336093041496E+01     2.799696543511761E-05     9.461741153060920E-06
 -5.90    -1.50    -2.126336093041496E+01     2.799696543510818E-05     9.461741037090761E-06
 -5.90    -1.40    -2.126336093041496E+01     2.799696543510069E-05     9.461740944972391E-06
 -5.90    -1.30    -2.126336093041496E+01     2.799696543509474E-05     9.461740871800168E-06
 -5.90    -1.20    -2.126336093041496E+01     2.799696543509001E-05     9.461740813677405E-06
 -5.90    -1.10    -2.126336093041496E+01     2.799696543508626E-05     9.461740767508855E-06
 -5.90    -1.00    -2.126336093041496E+01     2.799696543508328E-05     9.461740730835870E-06
 -5.90    -0.90    -2.126336093041496E+01     2.799696543508091E-05     9.461740701705484E-06
 -5.90    -0.80    -2.126336093041496E+01     2.799696543507903E-05     9.461740678566396E-06
 -5.90    -0.70    -2.126336093041496E+01     2.799696543507753E-05     9.461740660186363E-06
 -5.90    -0.60    -2.126336093041496E+01     2.799696543507635E-05     9.461740645586585E-06
 -5.90    -0.50    -2.126336093041496E+01     2.799696543507540E-05     9.461740633989571E-06
 -5.90    -0.40    -2.126336093041496E+01     2.799696543507465E-05     9.461740624777733E-06
 -5.90    -0.30    -2.126336093041496E+01     2.799696543507406E-05     9.461740617460510E-06
 -5.90    -0.20    -2.126336093041496E+01     2.799696543507359E-05     9.461740611648235E-06
 -5.90    -0.10    -2.126336093041496E+01     2.799696543507321E-05     9.461740607031378E-06
 -5.90     0.00    -2.126336093041496E+01     2.799696543507291E-05     9.461740603364081E-06
 -5.90     0.10    -2.126336093041496E+01     2.799696543507267E-05     9.461740600451042E-06
 -5.90     0.20    -2.126336093041496E+01     2.799696543507249E-05     9.461740598137133E-06
 -5.90     0.30    -2.126336093041496E+01     2.799696543507234E-05     9.461740596299130E-06
 -5.90     0.40    -2.126336093041496E+01     2.799696543507222E-05     9.461740594839152E-06
 -5.90     0.50    -4.809287629288995E+00     2.836226991777073E-05     7.693482249747798E-06
 -5.90     0.60    -4.214495259848229E+00     3.058928861742952E-05     6.302540652569034E-06
 -5.90     0.70    -3.793997649075655E+00     3.590450704500069E-05     5.335069870921622E-06
 -5.90     0.80    -3.441577136536947E+00     4.600877931539306E-05     4.582643774800164E-06
 -5.90     0.90    -3.127518027369936E+00     6.317040819878239E-05     3.961581536421109E-06
 -5.90     1.00    -2.838897993780099E+00     9.034548307845705E-05     3.433742824324394E-06
 -5.90     1.10    -2.568760368207242E+00     1.313161837353429E-04     2.978718417696308E-06
 -5.90     1.20    -2.312836996727536E+00     1.908511236333577E-04     2.584165372627793E-06
 -5.90     1.30    -2.068268585811927E+00     2.748917493892068E-04     2.240968035574267E-06
 -5.90     1.40    -1.833015966470676E+00     3.907696174146903E-04     1.942239308996645E-06
 -5.90     1.50    -1.605556124663593E+00     5.474611910304117E-04     1.682247824029049E-06
 -5.90     1.60    -1.384710640156514E+00     7.558862007347920E-04     1.455998210968224E-06
 -5.90     1.70    -1.169543978970393E+00     1.029258114340488E-03     1.259365164986516E-06
 -5.90     1.80    -9.592980008455613E-01     1.383494669790071E-03     1.088552099055262E-06
 -5.90     1.90    -7.533479039375405E-01     1.837700178044820E-03     9.402423782069588E-07
 -5.90     2.00    -5.511725233322066E-01     2.414728558219790E-03     8.116681771399969E-07
 -5.80   -12.60    -2.115793154375960E+01     3.258335254427647E-05     5.751802112256555E-02
 -5.80   -12.50    -2.115793154375960E+01     3.164006313905510E-05     4.569093660903500E-02
 -5.80   -12.40    -2.115793154375960E+01     3.089078173097148E-05     3.629634944546738E-02
 -5.80   -12.30    -2.115793154375960E+01     3.029560635277670E-05     2.883396360786731E-02
 -5.80   -12.20    -2.115793154375960E+01     2.982284174526388E-05     2.290637983865487E-02
