logT	 logRho		logP		u	s
 -5.90     1.30    -2.856953100620171E+00     3.101503669504803E-05     1.910821133118144E-06
 -5.90     1.40    -2.532824470175584E+00     5.212438233798869E-05     1.652676651171764E-06
 -5.90     1.50    -2.234308742110257E+00     8.632750518228509E-05     1.435135873572555E-06
 -5.90     1.60    -1.954578006968475E+00     1.390623004772042E-04     1.248349444845690E-06
 -5.90     1.70    -1.689402634031802E+00     2.173694748763460E-04     1.086107005836134E-06
 -5.90     1.80    -1.435930540130012E+00     3.302401304078028E-04     9.446610357608951E-07
 -5.90     1.90    -1.192118167877914E+00     4.890254241700849E-04     8.214453883047801E-07
 -5.90     2.00    -9.564352140274446E-01     7.079200828092481E-04     7.134421949651125E-07
 -5.80   -12.60    -2.110972271334724E+01     1.332516971263608E-05     6.247947243735415E-02
 -5.80   -12.50    -2.110972271334724E+01     1.254801402791847E-05     4.963046083996506E-02
 -5.80   -12.40    -2.110972271334724E+01     1.193069732477078E-05     3.942412813985914E-02
 -5.80   -12.30    -2.110972271334724E+01     1.144034523769367E-05     3.131694990317530E-02
 -5.80   -12.20    -2.110972271334724E+01     1.105084472997233E-05     2.487718932583501E-02
 -5.80   -12.10    -2.110972271334724E+01     1.074145347924983E-05     1.976190567438936E-02
 -5.80   -12.00    -2.110972271334724E+01     1.049569527322430E-05     1.569869144142257E-02
 -5.80   -11.90    -2.110972271334724E+01     1.030048259126303E-05     1.247116565244348E-02
 -5.80   -11.80    -2.110972271334724E+01     1.014541964620494E-05     9.907450789956616E-03
 -5.80   -11.70    -2.110972271334724E+01     1.002224877078579E-05     7.871019688900992E-03
 -5.80   -11.60    -2.110972271334724E+01     9.924410666744663E-06     6.253424967261882E-03
 -5.80   -11.50    -2.110972271334724E+01     9.846695098272901E-06     4.968523807522974E-03
 -5.80   -11.40    -2.110972271334724E+01     9.784963427958132E-06     3.947890537512383E-03
 -5.80   -11.30    -2.110972271334724E+01     9.735928219250420E-06     3.137172713843999E-03
 -5.80   -11.20    -2.110972271334724E+01     9.696978168478287E-06     2.493196656109970E-03
 -5.80   -11.10    -2.110972271334724E+01     9.666039043406038E-06     1.981668290965405E-03
