#density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_nettel_[K],radius_[m]
1.718,44.769,1786.8,2955.082843137255,1815700000.0
1.7261,45.384,1788.9,2966.058536585366,1813200000.0
1.7342,46.003,1790.9,2977.104207119741,1810600000.0
1.7422,46.625,1793.0,2988.246698872786,1808100000.0
1.7502,47.25,1795.0,2999.5413461538465,1805500000.0
1.7582,47.878,1797.0,3010.8374800637957,1803000000.0
1.7661,48.506,1799.0,3022.0871224165344,1800500000.0
1.774,49.14,1801.0,3033.441074249605,1797900000.0
1.7818,49.777,1803.0,3044.785534591195,1795400000.0
1.7896,50.416000000000004,1805.0,3056.019592476489,1792800000.0
1.7974,51.059000000000005,1806.9,3067.1798751950078,1790300000.0
1.8052,51.701,1808.9,3078.15984496124,1787800000.0
1.8129,52.35,1810.8,3089.0585780525503,1785200000.0
1.8206,53.001000000000005,1812.7,3099.8041602465332,1782700000.0
1.8283,53.655,1814.6,3110.346860643185,1780200000.0
1.8359,54.311,1816.5,3120.6198473282443,1777600000.0
1.8435,54.971000000000004,1818.4,3130.6659574468085,1775100000.0
1.8511,55.633,1820.3,3140.494856278366,1772500000.0
1.8586,56.298,1822.1,3150.014156626506,1770000000.0
1.8661,56.966,1824.0,3159.2462462462463,1767500000.0
1.8735,57.637,1825.8,3168.227503736921,1764900000.0
1.8809,58.31,1827.7,3176.8927083333333,1762400000.0
1.8883,58.986000000000004,1829.5,3185.3179525222554,1759800000.0
1.8956,59.665,1831.3,3193.5958702064895,1757300000.0
1.9029,60.343,1833.1,3201.677172312224,1754800000.0
1.9102,61.027,1834.9,3209.659677419355,1752200000.0
1.9175,61.714000000000006,1836.6,3217.540875912409,1749700000.0
1.9248,62.403000000000006,1838.4,3225.3095930232557,1747100000.0
1.932,63.095,1840.2,3233.0991304347826,1744600000.0
1.9392,63.787,1841.9,3240.8444444444444,1742100000.0
1.9463,64.48400000000001,1843.6,3248.5759712230215,1739500000.0
1.9535,65.184,1845.3,3256.3770444763272,1737000000.0
1.9606,65.886,1847.1,3264.2656205420826,1734500000.0
1.9677,66.59100000000001,1848.8,3272.2567567567567,1731900000.0
1.9747,67.298,1850.5,3280.3485106382977,1729400000.0
1.9818,68.008,1852.1,3288.5454802259887,1726800000.0
1.9888,68.72,1853.8,3296.8991549295774,1724300000.0
1.9957,69.435,1855.5,3305.4662921348317,1721800000.0
2.0026,70.152,1857.1,3314.158519553073,1719200000.0
2.0095,70.87100000000001,1858.8,3323.01129707113,1716700000.0
2.0164,71.59100000000001,1860.4,3331.9875,1714100000.0
