density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_podolak_[K],radius_[m]
1.5044,52.661,2005.4,3813.1,1779700000.0
1.5129,53.198,2007.8,3815.4,1777200000.0
1.5214,53.738,2010.1,3817.7,1774600000.0
1.5299,54.282000000000004,2012.5,3819.9,1772100000.0
1.5385,54.829,2014.8,3822.2,1769600000.0
1.547,55.379000000000005,2017.1,3824.4,1767000000.0
1.5555,55.933,2019.4,3826.6,1764500000.0
1.5641,56.49,2021.6,3828.8,1761900000.0
1.5727,57.051,2023.9,3831.0,1759400000.0
1.5812,57.615,2026.1,3833.1,1756900000.0
1.5898,58.182,2028.3,3835.3,1754300000.0
1.5984,58.752,2030.5,3837.4,1751800000.0
1.607,59.326,2032.7,3839.5,1749200000.0
1.6156,59.904,2034.8,3841.6,1746700000.0
1.6242,60.484,2037.0,3843.7,1744200000.0
1.6328,61.068000000000005,2039.1,3845.8,1741600000.0
1.6414,61.656,2041.2,3847.8,1739100000.0
1.6501,62.247,2043.3,3849.9,1736600000.0
1.6587,62.841,2045.4,3851.9,1734000000.0
1.6673,63.438,2047.5,3853.9,1731500000.0
1.676,64.039,2049.5,3855.9,1728900000.0
1.6846,64.643,2051.6,3857.9,1726400000.0
1.6933,65.251,2053.6,3859.8,1723900000.0
1.7019,65.86200000000001,2055.6,3861.8,1721300000.0
1.7106,66.476,2057.6,3863.7,1718800000.0
1.7192,67.09400000000001,2059.6,3865.6,1716200000.0
1.7279,67.715,2061.5,3867.6,1713700000.0
1.7366,68.34,2063.5,3869.4,1711200000.0
1.7453,68.968,2065.4,3871.3,1708600000.0
1.754,69.599,2067.3,3873.2,1706100000.0
1.7626,70.233,2069.2,3875.1,1703500000.0
1.7713,70.87100000000001,2071.1,3876.9,1701000000.0
1.78,71.513,2073.0,3878.7,1698500000.0
1.7887,72.157,2074.9,3880.5,1695900000.0
1.7974,72.805,2076.7,3882.3,1693400000.0
1.8061,73.45700000000001,2078.6,3884.1,1690900000.0
1.8148,74.11200000000001,2080.4,3885.9,1688300000.0
1.8235,74.77,2082.2,3887.7,1685800000.0
1.8322,75.431,2084.0,3889.4,1683200000.0
1.841,76.096,2085.8,3891.2,1680700000.0
1.8497,76.764,2087.6,3892.9,1678200000.0
1.8584,77.436,2089.4,3894.6,1675600000.0
1.8671,78.111,2091.1,3896.3,1673100000.0
1.8758,78.789,2092.9,3898.0,1670500000.0
1.8846,79.47,2094.6,3899.7,1668000000.0
1.8933,80.155,2096.3,3901.4,1665500000.0
1.902,80.843,2098.0,3903.1,1662900000.0
1.9107,81.535,2099.7,3904.7,1660400000.0
1.9195,82.23,2101.4,3906.4,1657800000.0
1.9282,82.928,2103.1,3908.0,1655300000.0
1.9369,83.629,2104.7,3909.6,1652800000.0
1.9456,84.334,2106.4,3911.2,1650200000.0
1.9544,85.042,2108.0,3912.8,1647700000.0
1.9631,85.754,2109.7,3914.4,1645200000.0
1.9718,86.46900000000001,2111.3,3916.0,1642600000.0
1.9806,87.187,2112.9,3917.6,1640100000.0
